"No.","Time","Source","Destination","Protocol","Length","Frame length stored into the capture file","Info"
"1","0.000000","192.168.159.1","239.255.255.250","SSDP","179","179","M-SEARCH * HTTP/1.1 "
"2","2.076367","192.168.159.1","192.168.159.131","TCP","66","66","6133  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3","2.409371","192.168.159.1","192.168.159.131","TCP","66","66","6134  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","2.599910","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB WPAD<00>"
"5","2.600218","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"6","2.600432","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"7","2.600611","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB WPAD<00>"
"8","2.600648","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB WPAD<00>"
"9","2.600667","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"10","2.600779","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"11","2.600986","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"12","2.601229","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"13","2.601513","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"14","2.601724","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"15","2.602082","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"16","2.602393","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"17","2.602461","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0x234d A wpad"
"18","2.602577","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0x234d A wpad"
"19","2.602945","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"20","2.603236","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"21","2.603399","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0x0ae8 A wpad"
"22","2.603454","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0x4a9f AAAA wpad"
"23","2.603524","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0x0ae8 A wpad"
"24","2.603618","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0x4a9f AAAA wpad"
"25","2.604249","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0x9a0e A wpad"
"26","2.604291","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0xc798 AAAA wpad"
"27","2.604421","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0x9a0e A wpad"
"28","2.604467","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0xc798 AAAA wpad"
"29","2.605760","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0x22ce AAAA wpad"
"30","2.605982","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0x22ce AAAA wpad"
"31","2.910876","::","ff02::16","ICMPv6","90","90","Multicast Listener Report Message v2"
"32","3.000157","192.168.159.1","239.255.255.250","SSDP","179","179","M-SEARCH * HTTP/1.1 "
"33","3.013546","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0x234d A wpad"
"34","3.013634","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0x234d A wpad"
"35","3.014300","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0x4a9f AAAA wpad"
"36","3.014380","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0x4a9f AAAA wpad"
"37","3.014457","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0x0ae8 A wpad"
"38","3.014526","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0x0ae8 A wpad"
"39","3.015238","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0x9a0e A wpad"
"40","3.015269","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0xc798 AAAA wpad"
"41","3.015327","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0x9a0e A wpad"
"42","3.015356","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0xc798 AAAA wpad"
"43","3.017204","fe80::7881:61fe:df3a:5259","ff02::1:3","LLMNR","84","84","Standard query 0x22ce AAAA wpad"
"44","3.017256","192.168.159.1","224.0.0.252","LLMNR","64","64","Standard query 0x22ce AAAA wpad"
"45","3.076895","192.168.159.1","192.168.159.131","TCP","66","66","[TCP Retransmission] 6133  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"46","3.094055","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB LP01020145<1c>"
"47","3.350045","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB WPAD<00>"
"48","3.351002","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB WPAD<00>"
"49","3.351031","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB WPAD<00>"
"50","3.409817","192.168.159.1","192.168.159.131","TCP","66","66","[TCP Retransmission] 6134  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"51","3.600657","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"52","3.600876","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"53","3.601285","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"54","3.601615","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"55","3.601935","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"56","3.602154","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"57","3.602541","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"58","3.602798","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"59","3.603138","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"60","3.603341","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"61","3.603677","192.168.159.1","224.0.0.251","MDNS","70","70","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"62","3.603896","fe80::7881:61fe:df3a:5259","ff02::fb","MDNS","90","90","Standard query 0x0000 AAAA wpad.local, ""QM"" question"
"63","3.703305","::","ff02::1:ff48:50c7","ICMPv6","78","78","Neighbor Solicitation for fe80::20c:29ff:fe48:50c7"
"64","3.843888","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB LP01020145<1c>"
"65","4.100322","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB WPAD<00>"
"66","4.101315","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB WPAD<00>"
"67","4.101376","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB WPAD<00>"
"68","4.593844","192.168.159.1","192.168.159.255","NBNS","92","92","Name query NB LP01020145<1c>"
"69","4.698503","::","ff02::16","ICMPv6","90","90","Multicast Listener Report Message v2"
"70","4.702555","fe80::20c:29ff:fe48:50c7","ff02::2","ICMPv6","70","70","Router Solicitation from 00:0c:29:48:50:c7"
"71","4.946038","0.0.0.0","255.255.255.255","DHCP","342","342","DHCP Discover - Transaction ID 0x9aae741b"
"72","4.946126","192.168.159.254","192.168.159.131","ICMP","62","62","Echo (ping) request  id=0x14f2, seq=0/0, ttl=16 (no response found!)"
"73","4.946142","192.168.159.254","192.168.159.131","ICMP","62","62","Echo (ping) request  id=0x14f2, seq=0/0, ttl=128 (no response found!)"
"74","5.077405","192.168.159.1","192.168.159.131","TCP","66","66","[TCP Retransmission] 6133  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"75","5.409697","192.168.159.1","192.168.159.131","TCP","66","66","[TCP Retransmission] 6134  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"76","6.000750","192.168.159.1","239.255.255.250","SSDP","179","179","M-SEARCH * HTTP/1.1 "
"77","6.094543","192.168.159.254","192.168.159.131","DHCP","342","342","DHCP Offer    - Transaction ID 0x9aae741b"
"78","6.094953","0.0.0.0","255.255.255.255","DHCP","342","342","DHCP Request  - Transaction ID 0x9aae741b"
"79","6.095251","192.168.159.254","192.168.159.131","DHCP","342","342","DHCP ACK      - Transaction ID 0x9aae741b"
"80","6.117471","192.168.159.131","224.0.0.22","IGMPv3","54","54","Membership Report / Join group 224.0.0.251 for any sources"
"81","6.174389","192.168.159.131","224.0.0.251","MDNS","156","156","Standard query response 0x0000 PTR _workstation._tcp.local PTR bee-box [00:0c:29:48:50:c7]._workstation._tcp.local"
"82","6.194100","192.168.159.131","224.0.0.251","MDNS","361","361","Standard query 0x0000 ANY 7.c.0.5.8.4.e.f.f.f.9.2.c.0.2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY bee-box.local, ""QM"" question ANY 131.159.168.192.in-addr.arpa, ""QM"" question ANY bee-box [00:0c:29:48:50:c7]._workstation._tcp.local, ""QM"" question A 192.168.159.131 PTR bee-box.local HINFO I686 LINUX SRV 0 0 9 bee-box.local TXT AAAA fe80::20c:29ff:fe48:50c7 PTR bee-box.local"
"83","6.213611","192.168.159.131","224.0.0.251","MDNS","82","82","Standard query 0x0000 PTR _pgpkey-hkp._tcp.local, ""QM"" question"
"84","6.445492","192.168.159.131","224.0.0.251","MDNS","361","361","Standard query 0x0000 ANY 7.c.0.5.8.4.e.f.f.f.9.2.c.0.2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY bee-box.local, ""QM"" question ANY 131.159.168.192.in-addr.arpa, ""QM"" question ANY bee-box [00:0c:29:48:50:c7]._workstation._tcp.local, ""QM"" question A 192.168.159.131 PTR bee-box.local HINFO I686 LINUX SRV 0 0 9 bee-box.local TXT AAAA fe80::20c:29ff:fe48:50c7 PTR bee-box.local"
"85","6.692648","VMware_c0:00:08","VMware_48:50:c7","ARP","42","42","Who has 192.168.159.131? Tell 192.168.159.1"
"86","6.692924","VMware_48:50:c7","VMware_c0:00:08","ARP","42","42","192.168.159.131 is at 00:0c:29:48:50:c7"
"87","6.697796","192.168.159.131","224.0.0.251","MDNS","361","361","Standard query 0x0000 ANY 7.c.0.5.8.4.e.f.f.f.9.2.c.0.2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY bee-box.local, ""QM"" question ANY 131.159.168.192.in-addr.arpa, ""QM"" question ANY bee-box [00:0c:29:48:50:c7]._workstation._tcp.local, ""QM"" question A 192.168.159.131 PTR bee-box.local HINFO I686 LINUX SRV 0 0 9 bee-box.local TXT AAAA fe80::20c:29ff:fe48:50c7 PTR bee-box.local"
"88","6.897356","192.168.159.131","224.0.0.251","MDNS","337","337","Standard query response 0x0000 PTR, cache flush bee-box.local A, cache flush 192.168.159.131 PTR, cache flush bee-box.local HINFO, cache flush I686 LINUX SRV, cache flush 0 0 9 bee-box.local TXT, cache flush AAAA, cache flush fe80::20c:29ff:fe48:50c7"
"89","7.137523","192.168.159.131","224.0.0.22","IGMPv3","54","54","Membership Report / Join group 224.0.0.251 for any sources"
"90","7.193487","192.168.159.131","224.0.0.251","MDNS","156","156","Standard query response 0x0000 PTR _workstation._tcp.local PTR bee-box [00:0c:29:48:50:c7]._workstation._tcp.local"
